customer_id,recency_days,frequency,monetary,quantity,discount,avg_age,country,region,segment,primary_channel,is_student,has_membership,churn_risk,churned,cluster
1,191,8,573.88,39,0.02727272727272728,33.0,US,West,Retail,Web,0,1,0.0844121515704222,0,1
2,269,5,515.05,33,0.05,31.0,US,South,Retail,Mobile App,1,0,0.4251915379645763,1,3
3,9,8,733.27,49,0.030952380952380953,39.0,US,Northeast,Retail,Web,0,1,0.3506132300024078,0,1
4,46,9,989.06,58,0.04655172413793104,19.0,UK,Northeast,SMB,Web,0,0,0.5532548500048076,0,1
5,128,10,871.88,54,0.03333333333333333,35.0,UK,South,SMB,In-Store,0,1,0.1971436224565874,0,1
6,140,6,349.88,25,0.020833333333333332,28.0,US,Northeast,Retail,Mobile App,0,0,0.4096280136149246,0,0
7,371,6,507.57,36,0.03235294117647059,21.0,CA,South,SMB,Mobile App,0,0,0.5568719541138611,1,0
8,597,1,33.21,3,0.03333333333333333,35.0,US,South,Retail,Web,0,0,0.4835202997539891,1,0
9,29,5,427.85,26,0.03461538461538462,36.0,US,West,Retail,Web,0,1,0.0616568925353221,0,2
10,50,14,1233.15,77,0.038571428571428576,36.0,US,Midwest,Retail,Partner,0,0,0.315283614207493,0,1
11,198,8,853.65,49,0.03863636363636364,51.0,CA,Midwest,SMB,Web,0,0,0.5511279423655471,0,2
12,227,6,623.26,42,0.056818181818181816,26.0,US,Northeast,SMB,In-Store,0,0,0.3962951977486356,1,3
13,387,4,525.37,27,0.057692307692307696,41.0,US,South,SMB,Web,0,0,0.4743119742343241,1,3
14,209,4,251.77999999999997,13,0.028571428571428574,38.0,US,West,Retail,Mobile App,0,1,0.2146622610358912,0,0
15,17,9,669.91,47,0.038461538461538464,33.0,US,South,SMB,Web,0,0,0.566443536190878,0,1
16,193,4,219.92,19,0.035,40.0,US,South,Enterprise,In-Store,0,0,0.3456110981131374,0,2
17,29,13,1303.41,90,0.026923076923076925,24.0,IN,Midwest,SMB,Web,0,0,0.4137908683093804,0,1
18,235,6,573.64,40,0.059375000000000004,44.0,US,Northeast,Retail,In-Store,0,0,0.5823702882781442,1,3
19,326,5,434.63,28,0.04000000000000001,37.0,US,West,Retail,In-Store,0,0,0.2553895662268722,1,2
20,397,6,457.97,24,0.05833333333333334,37.0,CA,South,Retail,Web,0,1,0.2115158445906097,1,3
21,475,2,161.48999999999998,8,0.0125,36.0,US,Midwest,Retail,Web,0,1,0.6125006241929826,1,0
22,307,4,608.89,36,0.023333333333333334,33.0,US,Midwest,Retail,Web,0,0,0.5587024257528149,1,0
23,73,8,770.36,39,0.03157894736842106,37.0,CA,Midwest,SMB,Mobile App,0,1,0.3075241957946358,0,1
24,326,11,959.6,55,0.03666666666666667,35.0,CA,Northeast,SMB,Web,0,1,0.3451158297094852,1,1
25,2,6,421.47,32,0.026470588235294117,48.0,UK,West,Retail,Web,0,0,0.4727412793094568,0,2
26,324,6,591.57,44,0.05,34.0,US,Midwest,SMB,Web,1,0,0.5790596740918484,1,3
27,17,4,372.97,22,0.02727272727272728,30.0,US,Northeast,SMB,Partner,0,1,0.1204130904267159,0,0
28,43,11,873.52,53,0.0380952380952381,35.0,CA,Midwest,Retail,Web,1,0,0.4544938048256051,0,1
29,19,6,366.87,25,0.025000000000000005,24.0,AU,South,Retail,Web,0,0,0.5065335658139434,0,0
30,134,6,549.59,41,0.025,37.0,UK,Northeast,SMB,Web,0,1,0.1478138039452559,0,2
31,10,6,563.15,31,0.023529411764705882,46.0,US,South,SMB,Partner,1,0,0.5435186720779712,0,2
32,154,7,539.1,38,0.03636363636363637,37.0,US,South,Retail,Web,0,0,0.2462275468626703,0,2
33,18,4,440.3,25,0.04090909090909091,46.0,US,Northeast,Retail,In-Store,0,1,0.103643148720799,0,2
34,44,6,587.12,30,0.018750000000000003,39.0,UK,Northeast,Retail,Partner,0,1,0.2301552183231836,0,2
35,186,9,749.75,55,0.03888888888888889,37.0,CA,Midwest,Retail,Web,0,0,0.6394957802503062,0,1
